mode	db_path	table	row_count	columns
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	ENUM_MSTX_EVENT_TYPE	4	id,name
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	HOST_INFO	1	hostUid,hostName
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	META_DATA	4	name,value
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	NPU_INFO	1	id,name
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	RANK_DEVICE_MAP	1	rankId,deviceId
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	SESSION_TIME_INFO	1	startTimeNs,endTimeNs
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	STRING_IDS	2463	id,value
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	TASK	132575	startNs,endNs,deviceId,connectionId,globalTaskId,globalPid,taskType,contextId,streamId,taskId,modelId
msprof_prefix_cache_on	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_on_msprof/PROF_000001_20260707095540199_03336901RBMCCKAI/msprof_20260707095741.db	TASK_PMU_INFO	3259480	globalTaskId,name,value
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	128597	task_id,stream_id,subtask_id,batch_id,aic_total_time,aic_total_cycles,aic_mac_time,aic_mac_ratio_extra,aic_scalar_time,aic_scalar_ratio,aic_mte1_time,aic_mte1_ratio_extra,aic_mte2_time,aic_mte2_ratio,aic_fixpipe_time,aic_fixpipe_ratio,aic_icache_miss_rate,aiv_total_time,aiv_total_cycles,aiv_vec_time,aiv_vec_ratio,aiv_mac_time,aiv_mac_ratio,aiv_scalar_time,aiv_scalar_ratio,aiv_mte1_time,aiv_mte1_ratio,aiv_mte2_time,aiv_mte2_ratio,aiv_mte3_time,aiv_mte3_ratio,aiv_icache_miss_rate
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	ge_summary	129990	model_id,task_id,stream_id,op_name,op_type,op_state,block_num,mix_block_num,task_type,tensor_num,input_formats,input_data_types,input_shapes,output_formats,output_data_types,output_shapes,index_id,timestamp,batch_id,context_id,op_flag
msprof_prefix_cache_off	/tmp/runtime_vllm_api_msprof_stats_pairing_2026_0707_p1_023_msprof_prefix_cache_off_msprof/PROF_000001_20260707095925945_03345800EHNMDQFJ/device_6/sqlite/ai_core_op_summary.db	task_time	146937	task_id,stream_id,start_time,duration_time,wait_time,task_type,index_id,model_id,batch_id,subtask_id
