case_id	mode	cell_id	request_role	request_role_index	input_cap_tokens	target_prefix_ratio_pct	target_prefix_ratio	target_shared_prefix_tokens	actual_shared_prefix_token_count	actual_input_token_count	actual_shared_prefix_ratio_pct	max_model_len	max_new_tokens	arrival_delay_ms	http_status	request_start_ns	first_token_ns	response_end_ns	ttft_us	tpot_us	decode_wall_us_after_first	client_wall_us	output_tokens_per_s	generated_token_count	stream_text_chunk_count	stream_inter_chunk_median_us	finish_reason	status	error_type	error	policy
cap32768_prefix60_measured_01	prefix_cache_off	cap32768_prefix60	measured	1	32768	60	0.6	19660	19660	32768	59.997559	34816	1024	0	200	1269310338262020	1269314458555257	1269409192095649	4120293	92603	94733540	98853833	10.358728	1024	1024	87723	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix60_measured_02	prefix_cache_off	cap32768_prefix60	measured	2	32768	60	0.6	19660	19660	32768	59.997559	34816	1024	100	200	1269310439750219	1269318492052170	1269410691681650	8052301	90126	92199629	100251931	10.214267	1024	1024	87725	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix60_measured_03	prefix_cache_off	cap32768_prefix60	measured	3	32768	60	0.6	19660	19660	32768	59.997559	34816	1024	200	200	1269310539857559	1269322173381032	1269411946094765	11633523	87754	89772713	101406237	10.097998	1024	1024	87699	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix90_warmup_01	prefix_cache_off	cap32768_prefix90	warmup	1	32768	90	0.9	29491	29491	32768	89.99939	34816	1024	0	200	1269535891867540	1269540276959215	1269623701274255	4385091	81548	83424315	87809406	11.661621	1024	1024	81316	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix90_measured_01	prefix_cache_off	cap32768_prefix90	measured	1	32768	90	0.9	29491	29491	32768	89.99939	34816	1024	0	200	1269623712059782	1269627944660704	1269727548215403	4232600	97364	99603554	103836155	9.86169	1024	1024	92939	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix90_measured_02	prefix_cache_off	cap32768_prefix90	measured	2	32768	90	0.9	29491	29491	32768	89.99939	34816	1024	100	200	1269623813520991	1269632078431937	1269729110573934	8264910	94850	97032141	105297052	9.724869	1024	1024	92802	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix90_measured_03	prefix_cache_off	cap32768_prefix90	measured	3	32768	90	0.9	29491	29491	32768	89.99939	34816	1024	200	200	1269623913678880	1269635864272716	1269730413950895	11950593	92423	94549678	106500272	9.614999	1024	1024	92717	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix30_warmup_01	prefix_cache_off	cap65536_prefix30	warmup	1	65536	30	0.3	19660	19660	65536	29.998779	67584	1024	0	200	1269857705420624	1269867034486593	1269951777358149	9329065	82837	84742871	94071937	10.885287	1024	1024	82707	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix30_measured_01	prefix_cache_off	cap65536_prefix30	measured	1	65536	30	0.3	19660	19660	65536	29.998779	67584	1024	0	200	1269951786259446	1269961052540235	1270066541160385	9266280	103116	105488620	114754900	8.923366	1024	1024	90864	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix30_measured_02	prefix_cache_off	cap65536_prefix30	measured	2	65536	30	0.3	19660	19660	65536	29.998779	67584	1024	100	200	1269951888594075	1269970197468301	1270069481142897	18308874	97051	99283674	117592548	8.708035	1024	1024	90722	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix30_measured_03	prefix_cache_off	cap65536_prefix30	measured	3	65536	30	0.3	19660	19660	65536	29.998779	67584	1024	200	200	1269951988809794	1269979196190802	1270072116297746	27207381	90830	92920106	120127487	8.524277	1024	1024	90572	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix60_warmup_01	prefix_cache_off	cap65536_prefix60	warmup	1	65536	60	0.6	39321	39321	65536	59.999084	67584	1024	0	200	1270195169949720	1270204917666500	1270296537400586	9747716	89559	91619734	101367450	10.101862	1024	1024	88212	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix60_measured_01	prefix_cache_off	cap65536_prefix60	measured	1	65536	60	0.6	39321	39321	65536	59.999084	67584	1024	0	200	1270296546681516	1270305598901362	1270411767343243	9052219	103781	106168441	115220661	8.887295	1024	1024	91173	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix60_measured_02	prefix_cache_off	cap65536_prefix60	measured	2	65536	60	0.6	39321	39321	65536	59.999084	67584	1024	100	200	1270296646749287	1270314526939826	1270414758773134	17880190	97978	100231833	118112023	8.669736	1024	1024	90955	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix60_measured_03	prefix_cache_off	cap65536_prefix60	measured	3	65536	60	0.6	39321	39321	65536	59.999084	67584	1024	200	200	1270296749006677	1270323503038172	1270417436556924	26754031	91821	93933518	120687550	8.484719	1024	1024	90804	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix90_warmup_01	prefix_cache_off	cap65536_prefix90	warmup	1	65536	90	0.9	58982	58982	65536	89.99939	67584	1024	0	200	1270541769094503	1270550886566079	1270635303960614	9117471	82519	84417394	93534866	10.947789	1024	1024	82307	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix90_measured_01	prefix_cache_off	cap65536_prefix90	measured	1	65536	90	0.9	58982	58982	65536	89.99939	67584	1024	0	200	1270635312568091	1270644370595235	1270749737562846	9058027	102998	105366967	114424994	8.949094	1024	1024	92106	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix90_measured_02	prefix_cache_off	cap65536_prefix90	measured	2	65536	90	0.9	58982	58982	65536	89.99939	67584	1024	100	200	1270635414838831	1270653184284851	1270752791954180	17769446	97368	99607669	117377115	8.724017	1024	1024	92026	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix90_measured_03	prefix_cache_off	cap65536_prefix90	measured	3	65536	90	0.9	58982	58982	65536	89.99939	67584	1024	200	200	1270635515051021	1270661681141821	1270755510133844	26166090	91719	93828992	119995082	8.533683	1024	1024	91930	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix30_warmup_01	prefix_cache_off	cap131072_prefix30	warmup	1	131072	30	0.3	39321	39321	131072	29.999542	133120	1024	0	200	1270885094126313	1270906190833847	1270988901437457	21096707	80851	82710603	103807311	9.86443	1024	1024	80798	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix30_measured_01	prefix_cache_off	cap131072_prefix30	measured	1	131072	30	0.3	39321	39321	131072	29.999542	133120	1024	0	200	1270988911720884	1271010049665525	1271133427561608	21137944	120604	123377896	144515840	7.085728	1024	1024	91447	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix30_measured_02	prefix_cache_off	cap131072_prefix30	measured	2	131072	30	0.3	39321	39321	131072	29.999542	133120	1024	100	200	1270989015916413	1271031054790266	1271139467657172	42038873	105975	108412866	150451740	6.806169	1024	1024	91431	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix30_measured_03	prefix_cache_off	cap131072_prefix30	measured	3	131072	30	0.3	39321	39321	131072	29.999542	133120	1024	200	200	1270989116147364	1271051869550224	1271145084955939	62753402	91119	93215405	155968808	6.565415	1024	1024	91180	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix60_warmup_01	prefix_cache_off	cap131072_prefix60	warmup	1	131072	60	0.6	78643	78643	131072	59.999847	133120	1024	0	200	1271274076328836	1271295181842592	1271385650704575	21105513	88434	90468861	111574375	9.177735	1024	1024	87492	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix60_measured_01	prefix_cache_off	cap131072_prefix60	measured	1	131072	60	0.6	78643	78643	131072	59.999847	133120	1024	0	200	1271385661185692	1271406915165445	1271528307924240	21253979	118663	121392758	142646738	7.178573	1024	1024	88695	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix60_measured_02	prefix_cache_off	cap131072_prefix60	measured	2	131072	60	0.6	78643	78643	131072	59.999847	133120	1024	100	200	1271385765344742	1271428169403797	1271534098736477	42404059	103547	105929332	148333391	6.903368	1024	1024	88626	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix60_measured_03	prefix_cache_off	cap131072_prefix60	measured	3	131072	60	0.6	78643	78643	131072	59.999847	133120	1024	200	200	1271385865211153	1271448961556703	1271539489486540	63096345	88492	90527929	153624275	6.665613	1024	1024	88469	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix90_warmup_01	prefix_cache_off	cap131072_prefix90	warmup	1	131072	90	0.9	117964	117964	131072	89.99939	133120	1024	0	200	1271663814304473	1271685011568622	1271768655346290	21197264	81763	83643777	104841041	9.767167	1024	1024	81688	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix90_measured_01	prefix_cache_off	cap131072_prefix90	measured	1	131072	90	0.9	117964	117964	131072	89.99939	133120	1024	0	200	1271768665443707	1271789713199049	1271912158758228	21047755	119692	122445559	143493314	7.136221	1024	1024	90912	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix90_measured_02	prefix_cache_off	cap131072_prefix90	measured	2	131072	90	0.9	117964	117964	131072	89.99939	133120	1024	100	200	1271768769503066	1271810455633630	1271918140578629	41686130	105263	107684944	149371075	6.85541	1024	1024	90879	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap131072_prefix90_measured_03	prefix_cache_off	cap131072_prefix90	measured	3	131072	90	0.9	117964	117964	131072	89.99939	133120	1024	200	200	1271768869753567	1271831036907157	1271923669516202	62167153	90549	92632609	154799762	6.614997	1024	1024	90719	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
