mode	input_cap_tokens	target_prefix_ratio_pct	common_metric	stage	value	unit	policy
prefix_cache_on	32768	60	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Request Throughput	total	0.028828	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Total Input Tokens	total	98304.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Prefill Token Throughput	total	944.627225	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Input Token Throughput	total	944.627225	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Output Token Throughput	total	29.519601	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	60	Total Token Throughput	total	974.146826	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Benchmark Duration	total	95025.995	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Concurrency	total	2.987593	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Max Concurrency	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Request Throughput	total	0.03157	req/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Total Input Tokens	total	98304.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Prefill Token Throughput	total	1034.495877	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Total generated tokens	total	3072.0	token	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Input Token Throughput	total	1034.495877	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Output Token Throughput	total	32.327996	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	32768	90	Total Token Throughput	total	1066.823873	token/s	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Benchmark Duration	total	118916.042	ms	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Total Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Failed Requests	total	0.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
prefix_cache_on	65536	30	Success Requests	total	3.0	request	benchmark_duration_based_vllm_openai_streaming_client_metric
