mode	input_cap_tokens	target_prefix_ratio_pct	performance_parameter	stage	Average	Min	Max	Median	P75	P90	P99	N	unit	policy
prefix_cache_on	32768	60	OutputTokenThroughput	total	9.957962	9.858953	10.065215	9.949717	10.007466	10.042115	10.062905	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	32768	60	PrefillTokenThroughput	total	8787.385136	4224.797711	15647.533202	6489.824495	11068.678848	13815.991461	15464.379028	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	32768	90	E2EL	total	94632.989	94408.142	94824.444	94666.381	94745.4125	94792.8314	94821.28274	3	ms	client_wall_us_div_1000
prefix_cache_on	32768	90	TTFT	total	1601.936333	902.041	2261.308	1642.46	1951.884	2137.5384	2248.93104	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	32768	90	TPOT	total	90.939	90.482	91.403	90.932	91.1675	91.3088	91.39358	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	32768	90	ITL	total	90.233	90.222	90.239	90.238	90.2385	90.2388	90.23898	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	32768	90	InputTokens	total	32768.0	32768.0	32768.0	32768.0	32768.0	32768.0	32768.0	3	token	submitted_input_token_count
prefix_cache_on	32768	90	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	32768	90	OutputTokenThroughput	total	10.820786	10.798903	10.846522	10.816934	10.831728	10.840604	10.84593	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	32768	90	PrefillTokenThroughput	total	23589.266259	14490.728375	36326.50844	19950.561962	28138.535201	33051.319145	35998.989511	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	65536	30	E2EL	total	114904.069667	110966.894	118713.679	115031.636	116872.6575	117977.2704	118640.03814	3	ms	client_wall_us_div_1000
prefix_cache_on	65536	30	TTFT	total	17272.417333	7018.622	27328.43	17470.2	22399.315	25356.784	27131.2654	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	65536	30	TPOT	total	95.436	89.33	101.611	95.367	98.489	100.3622	101.48612	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	65536	30	ITL	total	89.315667	89.25	89.357	89.34	89.3485	89.3536	89.35666	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	65536	30	InputTokens	total	65536.0	65536.0	65536.0	65536.0	65536.0	65536.0	65536.0	3	token	submitted_input_token_count
prefix_cache_on	65536	30	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	65536	30	OutputTokenThroughput	total	8.918557	8.625796	9.227977	8.901899	9.064938	9.162761	9.221455	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	65536	30	PrefillTokenThroughput	total	5162.278796	2398.08873	9337.445442	3751.302217	6544.37383	8220.216797	9225.722577	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	65536	60	E2EL	total	108040.997	105839.405	110173.683	108109.903	109141.793	109760.927	110132.4074	3	ms	client_wall_us_div_1000
prefix_cache_on	65536	60	TTFT	total	10616.481	4547.876	16622.628	10678.939	13650.7835	15433.8902	16503.75422	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	65536	60	TPOT	total	95.233667	91.447	99.014	95.24	97.127	98.2592	98.93852	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	65536	60	ITL	total	90.766333	90.655	90.836	90.808	90.822	90.8304	90.83544	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	65536	60	InputTokens	total	65536.0	65536.0	65536.0	65536.0	65536.0	65536.0	65536.0	3	token	submitted_input_token_count
prefix_cache_on	65536	60	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	65536	60	OutputTokenThroughput	total	9.480431	9.294416	9.675035	9.471843	9.573439	9.634397	9.670971	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	65536	60	PrefillTokenThroughput	total	8163.253395	3942.577552	14410.243375	6136.93926	10273.591317	12755.582552	14244.777293	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	65536	90	E2EL	total	99540.929333	98986.849	100028.395	99607.544	99817.9695	99944.2248	100019.97798	3	ms	client_wall_us_div_1000
prefix_cache_on	65536	90	TTFT	total	3535.642667	1864.737	5080.784	3661.407	4371.0955	4796.9086	5052.39646	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	65536	90	TPOT	total	93.846	92.812	94.938	93.788	94.363	94.708	94.915	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	65536	90	ITL	total	91.656333	91.545	91.782	91.642	91.712	91.754	91.7792	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	65536	90	InputTokens	total	65536.0	65536.0	65536.0	65536.0	65536.0	65536.0	65536.0	3	token	submitted_input_token_count
prefix_cache_on	65536	90	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	65536	90	OutputTokenThroughput	total	10.287416	10.237093	10.344809	10.280346	10.312577	10.331916	10.34352	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	65536	90	PrefillTokenThroughput	total	21980.943076	12898.796721	35144.902472	17899.130034	26522.016253	31695.747984	34799.987023	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	131072	30	E2EL	total	149825.703333	141808.985	157640.176	150027.949	153834.0625	156117.7306	157487.93146	3	ms	client_wall_us_div_1000
prefix_cache_on	131072	30	TTFT	total	40404.971	16821.585	64092.212	40301.116	52196.664	59333.9928	63616.39008	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	131072	30	TPOT	total	106.96	91.444	122.177	107.259	114.718	119.1934	121.87864	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	131072	30	ITL	total	91.385667	91.103	91.609	91.445	91.527	91.5762	91.60572	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	131072	30	InputTokens	total	131072.0	131072.0	131072.0	131072.0	131072.0	131072.0	131072.0	3	token	submitted_input_token_count
prefix_cache_on	131072	30	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	131072	30	OutputTokenThroughput	total	6.847394	6.495806	7.220981	6.825395	7.023188	7.141864	7.213069	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	131072	30	PrefillTokenThroughput	total	4363.087972	2045.053461	7791.89357	3252.316884	5522.105227	6883.978233	7701.102036	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	131072	60	E2EL	total	126474.224	122003.944	130834.224	126584.504	128709.364	129984.28	130749.2296	3	ms	client_wall_us_div_1000
prefix_cache_on	131072	60	TTFT	total	24998.367	10927.385	39039.067	25028.649	32033.858	36236.9834	38758.85864	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	131072	60	TPOT	total	99.194	89.731	108.579	99.272	103.9255	106.7176	108.39286	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	131072	60	ITL	total	89.724667	89.563	89.814	89.797	89.8055	89.8106	89.81366	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	131072	60	InputTokens	total	131072.0	131072.0	131072.0	131072.0	131072.0	131072.0	131072.0	3	token	submitted_input_token_count
prefix_cache_on	131072	60	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	131072	60	OutputTokenThroughput	total	8.103109	7.826698	8.393171	8.089458	8.241315	8.332428	8.387097	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	131072	60	PrefillTokenThroughput	total	6863.051519	3357.457288	11994.818522	5236.878746	8615.848634	10643.230567	11859.659727	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_on	131072	90	E2EL	total	102623.879	101520.026	103648.562	102703.049	103175.8055	103459.4594	103629.65174	3	ms	client_wall_us_div_1000
prefix_cache_on	131072	90	TTFT	total	7736.626	3960.764	11388.442	7860.672	9624.557	10682.888	11317.8866	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_on	131072	90	TPOT	total	92.753333	90.185	95.365	92.71	94.0375	94.834	95.3119	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_on	131072	90	ITL	total	89.905	89.895	89.912	89.908	89.91	89.9112	89.91192	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_on	131072	90	InputTokens	total	131072.0	131072.0	131072.0	131072.0	131072.0	131072.0	131072.0	3	token	submitted_input_token_count
prefix_cache_on	131072	90	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_on	131072	90	OutputTokenThroughput	total	9.978904	9.879539	10.08668	9.970493	10.028586	10.063443	10.084356	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_on	131072	90	PrefillTokenThroughput	total	20425.406442	11509.212586	33092.605366	16674.401374	24883.50337	29808.964568	32764.241286	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_off	8192	30	E2EL	total	92111.337667	91838.545	92322.201	92173.267	92247.734	92292.4142	92319.22232	3	ms	client_wall_us_div_1000
prefix_cache_off	8192	30	TTFT	total	2041.559	1151.716	2799.389	2173.572	2486.4805	2674.2256	2786.87266	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_off	8192	30	TPOT	total	88.044333	87.51	88.647	87.976	88.3115	88.5128	88.63358	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_off	8192	30	ITL	total	87.542333	87.53	87.561	87.536	87.5485	87.556	87.5605	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_off	8192	30	InputTokens	total	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	3	token	submitted_input_token_count
prefix_cache_off	8192	30	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_off	8192	30	OutputTokenThroughput	total	11.117035	11.09159	11.150002	11.109512	11.129757	11.141904	11.149192	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_off	8192	30	PrefillTokenThroughput	total	4602.709585	2926.352858	7112.86463	3768.911267	5440.887948	6444.073957	7045.985563	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_off	8192	60	E2EL	total	93374.129333	93093.616	93591.022	93437.75	93514.386	93560.3676	93587.95656	3	ms	client_wall_us_div_1000
prefix_cache_off	8192	60	TTFT	total	2050.588667	1150.929	2822.596	2178.241	2500.4185	2693.725	2809.7089	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_off	8192	60	TPOT	total	89.269667	88.727	89.875	89.207	89.541	89.7414	89.86164	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_off	8192	60	ITL	total	88.504667	88.5	88.508	88.506	88.507	88.5076	88.50796	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_off	8192	60	InputTokens	total	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	3	token	submitted_input_token_count
prefix_cache_off	8192	60	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_off	8192	60	OutputTokenThroughput	total	10.966689	10.94122	10.99968	10.959168	10.979424	10.991578	10.99887	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_off	8192	60	PrefillTokenThroughput	total	4593.617955	2902.292783	7117.728374	3760.832709	5439.280541	6446.349241	7050.590461	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_off	8192	90	E2EL	total	96844.860667	96554.227	97070.315	96910.04	96990.1775	97038.26	97067.1095	3	ms	client_wall_us_div_1000
prefix_cache_off	8192	90	TTFT	total	2045.638667	1146.77	2816.151	2173.995	2495.073	2687.7198	2803.30788	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_off	8192	90	TPOT	total	92.667667	92.135	93.262	92.606	92.934	93.1308	93.24888	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_off	8192	90	ITL	total	91.216	91.192	91.234	91.222	91.228	91.2316	91.23376	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_off	8192	90	InputTokens	total	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	8192.0	3	token	submitted_input_token_count
prefix_cache_off	8192	90	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_off	8192	90	OutputTokenThroughput	total	10.573665	10.549054	10.605439	10.566501	10.58597	10.597651	10.60466	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_off	8192	90	PrefillTokenThroughput	total	4606.885054	2908.934926	7143.542297	3768.17794	5455.860118	6468.469426	7076.03501	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_off	16384	30	E2EL	total	97270.554333	96605.109	97863.133	97343.421	97603.277	97759.1906	97852.73876	3	ms	client_wall_us_div_1000
prefix_cache_off	16384	30	TTFT	total	3979.547	2115.509	5713.008	4110.124	4911.566	5392.4312	5680.95032	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_off	16384	30	TPOT	total	91.193333	90.078	92.365	91.137	91.751	92.1194	92.34044	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_off	16384	30	ITL	total	87.955667	87.954	87.958	87.955	87.9565	87.9574	87.95794	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_off	16384	30	InputTokens	total	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	3	token	submitted_input_token_count
prefix_cache_off	16384	30	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_off	16384	30	OutputTokenThroughput	total	10.527635	10.463593	10.599853	10.519458	10.559655	10.583774	10.598245	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_off	16384	30	PrefillTokenThroughput	total	4866.267975	2867.841249	7744.708248	3986.254429	5865.481338	6993.017484	7669.539171	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_off	16384	60	E2EL	total	97524.881	96886.752	98094.11	97593.781	97843.9455	97994.0442	98084.10342	3	ms	client_wall_us_div_1000
prefix_cache_off	16384	60	TTFT	total	4052.235	2171.592	5817.748	4167.365	4992.5565	5487.6714	5784.74034	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_off	16384	60	TPOT	total	91.370333	90.201	92.585	91.325	91.955	92.333	92.5598	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_off	16384	60	ITL	total	90.153	90.077	90.195	90.187	90.191	90.1934	90.19484	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_off	16384	60	InputTokens	total	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	3	token	submitted_input_token_count
prefix_cache_off	16384	60	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_off	16384	60	OutputTokenThroughput	total	10.500156	10.438955	10.56904	10.492472	10.530756	10.553726	10.567509	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_off	16384	60	PrefillTokenThroughput	total	4764.135461	2816.209984	7544.69532	3931.50108	5738.0982	6822.056472	7472.431436	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_off	16384	90	E2EL	total	95161.507333	94542.168	95713.522	95228.832	95471.177	95616.584	95703.8282	3	ms	client_wall_us_div_1000
prefix_cache_off	16384	90	TTFT	total	4041.795333	2163.408	5776.287	4185.691	4980.989	5458.1678	5744.47508	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_off	16384	90	TPOT	total	89.070667	87.915	90.301	88.996	89.6485	90.04	90.2749	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
prefix_cache_off	16384	90	ITL	total	87.834	87.824	87.846	87.832	87.839	87.8432	87.84572	3	ms	host_stream_inter_chunk_median_per_request_not_runtime_native_decode_event
prefix_cache_off	16384	90	InputTokens	total	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	16384.0	3	token	submitted_input_token_count
prefix_cache_off	16384	90	OutputTokens	total	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	1024.0	3	token	generated_token_count
prefix_cache_off	16384	90	OutputTokenThroughput	total	10.760928	10.698593	10.831146	10.753046	10.792096	10.815526	10.829584	3	token/s	generated_tokens_div_client_wall_time
prefix_cache_off	16384	90	PrefillTokenThroughput	total	4774.649483	2836.42416	7573.236301	3914.287987	5743.762144	6841.446638	7500.057335	3	token/s	input_tokens_div_ttft_host_client_approximation
prefix_cache_off	32768	30	E2EL	total	102356.158	101015.504	103613.549	102439.421	103026.485	103378.7234	103590.06644	3	ms	client_wall_us_div_1000
prefix_cache_off	32768	30	TTFT	total	8118.200667	4211.339	11915.083	8228.18	10071.6315	11177.7024	11841.34494	3	ms	host_client_first_nonempty_text_chunk
prefix_cache_off	32768	30	TPOT	total	92.118667	89.636	94.627	92.093	93.36	94.1202	94.57632	3	ms	response_end_minus_first_token_div_generated_tokens_minus_one
