source	path	table_or_json	column_or_key	type_or_value
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/op_counter.db	rts_task	duration	INTEGER
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ascend_task.db	AscendTask	start_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ascend_task.db	AscendTask	duration	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_total_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_mac_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_scalar_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_mte1_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_mte2_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aic_fixpipe_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_total_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_vec_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_mac_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_scalar_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_mte1_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_mte2_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ai_core_metrics	aiv_mte3_time	NUMERIC
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ge_summary	input_formats	TEXT
sqlite	/tmp/runtime_marker_pairing_2026_0705_p1_004_msprof/PROF_000001_20260706001309919_01009634NHQHRQER/device_6/sqlite/ai_core_op_summary.db	ge_summary	output_formats	TEXT
