case_id	mode	cell_id	request_role	request_role_index	input_cap_tokens	target_prefix_ratio_pct	target_prefix_ratio	target_shared_prefix_tokens	actual_shared_prefix_token_count	actual_input_token_count	actual_shared_prefix_ratio_pct	max_model_len	max_new_tokens	arrival_delay_ms	http_status	request_start_ns	first_token_ns	response_end_ns	ttft_us	tpot_us	decode_wall_us_after_first	client_wall_us	output_tokens_per_s	generated_token_count	stream_text_chunk_count	stream_inter_chunk_median_us	finish_reason	status	error_type	error	policy
cap32768_prefix90_measured_02	prefix_cache_on	cap32768_prefix90	measured	2	32768	90	0.9	29491	29491	32768	89.99939	34816	1024	100	200	1264701424239674	1264703066699756	1264796090620796	1642460	90932	93023921	94666381	10.816934	1024	1024	90239	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap32768_prefix90_measured_03	prefix_cache_on	cap32768_prefix90	measured	3	32768	90	0.9	29491	29491	32768	89.99939	34816	1024	200	200	1264701524450721	1264703785759090	1264796348895262	2261308	90482	92563136	94824444	10.798903	1024	1024	90222	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix30_warmup_01	prefix_cache_on	cap65536_prefix30	warmup	1	65536	30	0.3	19660	19660	65536	29.998779	67584	1024	0	200	1264929325038142	1264938503815383	1265022804030023	9178777	82404	84300214	93478991	10.954333	1024	1024	82316	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix30_measured_01	prefix_cache_on	cap65536_prefix30	measured	1	65536	30	0.3	19660	19660	65536	29.998779	67584	1024	0	200	1265022812662060	1265029831284751	1265133779556694	7018622	101611	103948271	110966894	9.227977	1024	1024	89357	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix30_measured_02	prefix_cache_on	cap65536_prefix30	measured	2	65536	30	0.3	19660	19660	65536	29.998779	67584	1024	100	200	1265022914817234	1265040385017372	1265137946453830	17470200	95367	97561436	115031636	8.901899	1024	1024	89340	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix30_measured_03	prefix_cache_on	cap65536_prefix30	measured	3	65536	30	0.3	19660	19660	65536	29.998779	67584	1024	200	200	1265023015024678	1265050343455166	1265141728704193	27328430	89330	91385249	118713679	8.625796	1024	1024	89250	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix60_warmup_01	prefix_cache_on	cap65536_prefix60	warmup	1	65536	60	0.6	39321	39321	65536	59.999084	67584	1024	0	200	1265270980240365	1265280361942214	1265369147302252	9381701	86789	88785360	98167061	10.431197	1024	1024	86241	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix60_measured_01	prefix_cache_on	cap65536_prefix60	measured	1	65536	60	0.6	39321	39321	65536	59.999084	67584	1024	0	200	1265369155387249	1265373703263593	1265474994792386	4547876	99014	101291528	105839405	9.675035	1024	1024	90836	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix60_measured_02	prefix_cache_on	cap65536_prefix60	measured	2	65536	60	0.6	39321	39321	65536	59.999084	67584	1024	100	200	1265369257412797	1265379936351950	1265477367316382	10678939	95240	97430964	108109903	9.471843	1024	1024	90808	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
cap65536_prefix60_measured_03	prefix_cache_on	cap65536_prefix60	measured	3	65536	60	0.6	39321	39321	65536	59.999084	67584	1024	200	200	1265369357689105	1265385980317858	1265479531372903	16622628	91447	93551055	110173683	9.294416	1024	1024	90655	length	success			long_context_prefix_ratio_matrix_no_bottleneck_claim
